Survival,Class,Sex,,Pct
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
